2025-09-28 18:03:54,860 | DEBUG    | h5py._conv           | <module>       :47   | Creating converter from 7 to 5
2025-09-28 18:03:54,860 | DEBUG    | h5py._conv           | <module>       :47   | Creating converter from 5 to 7
2025-09-28 18:03:54,860 | DEBUG    | h5py._conv           | <module>       :47   | Creating converter from 7 to 5
2025-09-28 18:03:54,860 | DEBUG    | h5py._conv           | <module>       :47   | Creating converter from 5 to 7
2025-09-28 18:03:58,684 | [33m⚠️ WARNING[0m | 📋 root               | <module>       :2081 | tradingeconomics package not available. Economic calendar features will be limited.
2025-09-28 18:03:58,685 | [33m⚠️ WARNING[0m | 📋 root               | <module>       :2094 | optuna not available. Hyperparameter optimization will be limited.
2025-09-28 18:03:58,685 | [33m⚠️ WARNING[0m | 📋 root               | <module>       :2103 | optuna integrations not available. Some optimization features disabled.
2025-09-28 18:03:58,685 | [33m⚠️ WARNING[0m | 📋 root               | <module>       :2111 | eod package not available. EODHD news provider will be disabled.
2025-09-28 18:03:58,686 | [33m⚠️ WARNING[0m | 📋 root               | <module>       :2118 | newsapi package not available. NewsAPI provider will be disabled.
